Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos,Description
1965/06,1971/11,Japan Study Summer Seminar,"Robert Wood, Barry Jackman, Bardwell Smith, John Perry",Summer/Fall,106,Japan,Japan,,"This OCS ran from 1965/06 to 1971/11, and visited Japan.

Lead by Robert Wood, Barry Jackman, Bardwell Smith, John Perry with 106 total students in partipation across the years."
1969/08,1969/11,African Seminar (ivory Coast Only),Elhanan Hagolani,Summer/Fall,14,Ivory Coast,Ivory Coast,,"This OCS ran from 1969/08 to 1969/11, and visited Ivory Coast.

Lead by Elhanan Hagolani with 14 total students in partipation across the years."
1970/1,1970/03,Sociology Seminar In Puerto Rico,Byron Fox,Winter,20,USA,USA,,"This OCS ran from 1970/1 to 1970/03, and visited USA.

Lead by Byron Fox with 20 total students in partipation across the years."
1971/03,1971/06,"History Seminar In Caen, France",Carl Weiner,Spring,16,France,France,,"This OCS ran from 1971/03 to 1971/06, and visited France.

Lead by Carl Weiner with 16 total students in partipation across the years."
1971/08,1998/11,English Seminar In London,"Susan Jaret McKinstry, Frank Morral, Tim Raylor",Fall,573,UK,UK,,"This OCS ran from 1971/08 to 1998/11, and visited UK.

Lead by Susan Jaret McKinstry, Frank Morral, Tim Raylor with 573 total students in partipation across the years."
1972/1,1974/03,Marine Biology Seminar In Bermuda,Gary Wagenbach,Winter,42,Bermuda,Bermuda,,"This OCS ran from 1972/1 to 1974/03, and visited Bermuda.

Lead by Gary Wagenbach with 42 total students in partipation across the years."
1972/08,1972/11,Interdisciplinary Seminar In London,Bob Bonner & Vern Bailey,Fall,31,UK,UK,,"This OCS ran from 1972/08 to 1972/11, and visited UK.

Lead by Bob Bonner & Vern Bailey with 31 total students in partipation across the years."
1973/03,1973/06,Language Training Program In Pau,Michel Monnot,Spring,25,France,France,,"This OCS ran from 1973/03 to 1973/06, and visited France.

Lead by Michel Monnot with 25 total students in partipation across the years."
1974/03,1999/06,French Language In Pau I,"Christine Lac, Éva Pósfay",Spring,565,France,France,,"This OCS ran from 1974/03 to 1999/06, and visited France.

Lead by Christine Lac, Éva Pósfay with 565 total students in partipation across the years."
1973/08,1985/11,German Seminar In Trier,Richard Cantwell,Fall,61,Germany,Germany,,"This OCS ran from 1973/08 to 1985/11, and visited Germany.

Lead by Richard Cantwell with 61 total students in partipation across the years."
1974/08,1992/11,Art History In Greece,Dale Haworth,Fall,122,Greece,Greece,,"This OCS ran from 1974/08 to 1992/11, and visited Greece.

Lead by Dale Haworth with 122 total students in partipation across the years."
1975/03,1990/06,French Language In Pau II,Patrick Lobert,Winter/Spring,188,France,France,,"This OCS ran from 1975/03 to 1990/06, and visited France.

Lead by Patrick Lobert with 188 total students in partipation across the years."
1975/06,1991/08,International Relations Seminar In Geneva,"Hartley Clark & Gary Wynia, Hartley Clark",Summer,237,Switzerland,Switzerland,,"This OCS ran from 1975/06 to 1991/08, and visited Switzerland.

Lead by Hartley Clark & Gary Wynia, Hartley Clark with 237 total students in partipation across the years."
1975/08,1986/06,Marine Biology Seminar In California,Gary Wagenbach,Spring,132,USA,USA,,"This OCS ran from 1975/08 to 1986/06, and visited USA.

Lead by Gary Wagenbach with 132 total students in partipation across the years."
1978/08,2000/11,German Seminar In Nuremberg,Roger Paas,Fall,101,Germany,Germany,,"This OCS ran from 1978/08 to 2000/11, and visited Germany.

Lead by Roger Paas with 101 total students in partipation across the years."
1980/08,1980/11,Economics Seminar In Nuremberg,Martha Paas,Fall,20,Germany,Germany,,"This OCS ran from 1980/08 to 1980/11, and visited Germany.

Lead by Martha Paas with 20 total students in partipation across the years."
1980/08,2001/11,"German Seminar In Graz, Austria",Anne Ulmer,Fall,104,Austria,Austria,,"This OCS ran from 1980/08 to 2001/11, and visited Austria.

Lead by Anne Ulmer with 104 total students in partipation across the years."
1980/08,2007/03,Spanish Seminar In Morelia,Diane Pearsall,Winter,389,Mexico,Mexico,,"This OCS ran from 1980/08 to 2007/03, and visited Mexico.

Lead by Diane Pearsall with 389 total students in partipation across the years."
1981/08,1999/11,German Seminar In Munich,Julie Klassen,Fall,88,Germany,Germany,,"This OCS ran from 1981/08 to 1999/11, and visited Germany.

Lead by Julie Klassen with 88 total students in partipation across the years."
1983/1,2016/06,"Political Science Seminar In Washington, D.C.",Barbara Allen & Greg Marfleet,Spring,286,USA,USA,,"This OCS ran from 1983/1 to 2016/06, and visited USA.

Lead by Barbara Allen & Greg Marfleet with 286 total students in partipation across the years."
1983/03,1983/06,Reformation Seminar In Marburg,Richard Crouter,Spring,19,Germany,Germany,,"This OCS ran from 1983/03 to 1983/06, and visited Germany.

Lead by Richard Crouter with 19 total students in partipation across the years."
1983/06,2022/08,Economics Seminar In Cambridge,"Michael Hemesath, Martha Paas, Lauren Feiler",Summer,767,UK,"UK, Belgium",,"This OCS ran from 1983/06 to 2022/08, and visited UK, Belgium.

Lead by Michael Hemesath, Martha Paas, Lauren Feiler with 767 total students in partipation across the years."
1984/1,1986/03,Geology In Death Valley,Mary Savina,Winter,48,USA,USA,,"This OCS ran from 1984/1 to 1986/03, and visited USA.

Lead by Mary Savina with 48 total students in partipation across the years."
1986/03,1986/06,Interdisciplinary Seminar In Vienna,Anne Ulmer,Spring,21,Austria,Austria,,"This OCS ran from 1986/03 to 1986/06, and visited Austria.

Lead by Anne Ulmer with 21 total students in partipation across the years."
1986/08,1986/11,German Seminar In West Berlin,Sigrun Leonhard,Fall,20,Germany,Germany,,"This OCS ran from 1986/08 to 1986/11, and visited Germany.

Lead by Sigrun Leonhard with 20 total students in partipation across the years."
1988/03,1988/06,Interdisciplinary In Australia,Keith Harrison & Gary Wagenbach,Spring,41,Australia,Australia,,"This OCS ran from 1988/03 to 1988/06, and visited Australia.

Lead by Keith Harrison & Gary Wagenbach with 41 total students in partipation across the years."
1989/1,1991/03,Archeology & Anthropology In Nepal,James F. Fisher & Nancy Wilkie,Winter,29,Nepal,Nepal,,"This OCS ran from 1989/1 to 1991/03, and visited Nepal.

Lead by James F. Fisher & Nancy Wilkie with 29 total students in partipation across the years."
1989/03,1992/08,English Seminar In Dublin,James McDonnell,Summer,47,Ireland,Ireland,,"This OCS ran from 1989/03 to 1992/08, and visited Ireland.

Lead by James McDonnell with 47 total students in partipation across the years."
1989/03,1989/06,Interdisciplinary Seminar In Paris,Geneviève Soulas-Link & Carl Weiner,Spring,22,France,France,,"This OCS ran from 1989/03 to 1989/06, and visited France.

Lead by Geneviève Soulas-Link & Carl Weiner with 22 total students in partipation across the years."
1990/1,2005/03,English & Psychology Seminar In London,Constance Walker & Neil Lutsky,Winter,134,UK,UK,,"This OCS ran from 1990/1 to 2005/03, and visited UK.

Lead by Constance Walker & Neil Lutsky with 134 total students in partipation across the years."
1990/1,1990/03,Geology In Bermuda,Audrey Massa,Winter,21,Bermuda,Bermuda,,"This OCS ran from 1990/1 to 1990/03, and visited Bermuda.

Lead by Audrey Massa with 21 total students in partipation across the years."
1989/08,1989/11,Marine Biology Seminar In Australia,Gary Wagenbach,Fall,25,Australia,Australia,,"This OCS ran from 1989/08 to 1989/11, and visited Australia.

Lead by Gary Wagenbach with 25 total students in partipation across the years."
1990/03,2009/06,Political Economy Seminar In Beijing,Roy Grow,Spring,285,China,China,,"This OCS ran from 1990/03 to 2009/06, and visited China.

Lead by Roy Grow with 285 total students in partipation across the years."
1990/08,2007/12,Art History In Amsterdam,Alison Kettering,Winter Break,89,The Netherlands,The Netherlands,,"This OCS ran from 1990/08 to 2007/12, and visited The Netherlands.

Lead by Alison Kettering with 89 total students in partipation across the years."
1991/03,2002/06,French Seminar In Paris,Scott Carpenter,Spring,227,France,France,,"This OCS ran from 1991/03 to 2002/06, and visited France.

Lead by Scott Carpenter with 227 total students in partipation across the years."
1990/08,2013/11,German Seminar In Berlin,"Sigrun Leonhard, Kai Herklotz",Fall,129,Germany,Germany,,"This OCS ran from 1990/08 to 2013/11, and visited Germany.

Lead by Sigrun Leonhard, Kai Herklotz with 129 total students in partipation across the years."
1992/03,1992/06,Advanced French Seminar In Paris,Dana Strand & Steve Strand,Spring,18,France,France,,"This OCS ran from 1992/03 to 1992/06, and visited France.

Lead by Dana Strand & Steve Strand with 18 total students in partipation across the years."
1991/08,1991/11,Biology And Geology Seminar In Australia,Gary Wagenbach & Shelby Boardman,Fall,45,Australia,Australia,,"This OCS ran from 1991/08 to 1991/11, and visited Australia.

Lead by Gary Wagenbach & Shelby Boardman with 45 total students in partipation across the years."
1992/11,2011/12,Tropical Field Ecology In Costa Rica,Mark McKone,Winter Break,83,Costa Rica,Costa Rica,,"This OCS ran from 1992/11 to 2011/12, and visited Costa Rica.

Lead by Mark McKone with 83 total students in partipation across the years."
1993/08,2007/11,Geology Seminar In Italy,Cameron Davidson,Fall,176,Italy,Italy,,"This OCS ran from 1993/08 to 2007/11, and visited Italy.

Lead by Cameron Davidson with 176 total students in partipation across the years."
1994/1,2004/03,Marine Biology Seminar In Australia & New Zealand,Gary Wagenbach,Winter,125,Australia,"Australia, New Zealand",,"This OCS ran from 1994/1 to 2004/03, and visited Australia, New Zealand.

Lead by Gary Wagenbach with 125 total students in partipation across the years."
1993/06,2008/06,Political Science Seminar In Maastricht,Al Montero,Spring,127,The Netherlands,The Netherlands,,"This OCS ran from 1993/06 to 2008/06, and visited The Netherlands.

Lead by Al Montero with 127 total students in partipation across the years."
1995/1,2004/08,American Studies Seminar In California,Mike Kowalewski,Summer,86,USA,USA,,"This OCS ran from 1995/1 to 2004/08, and visited USA.

Lead by Mike Kowalewski with 86 total students in partipation across the years."
1994/08,1994/11,German In Seminar In Bonn,Sigrun Leonhard,Fall,12,Germany,Germany,,"This OCS ran from 1994/08 to 1994/11, and visited Germany.

Lead by Sigrun Leonhard with 12 total students in partipation across the years."
1995/03,2007/06,Russian Seminar In Moscow,Diane Nemec Ignashev,Spring,106,Russia,Russia,,"This OCS ran from 1995/03 to 2007/06, and visited Russia.

Lead by Diane Nemec Ignashev with 106 total students in partipation across the years."
1996/1,1996/03,Art And Biology Seminar In Australia & New Zealand,Fred Hagstrom & Gary Wagenbach,Winter,49,Australia,"Australia, New Zealand",,"This OCS ran from 1996/1 to 1996/03, and visited Australia, New Zealand.

Lead by Fred Hagstrom & Gary Wagenbach with 49 total students in partipation across the years."
1996/06,2001/08,English Seminar In Ireland,"Frank Morral, Robert Tisdale, James McDonnell",Summer,66,Ireland,Ireland,,"This OCS ran from 1996/06 to 2001/08, and visited Ireland.

Lead by Frank Morral, Robert Tisdale, James McDonnell with 66 total students in partipation across the years."
1999/1,1999/03,Studio Art Seminar In Australia/new Zealan,Fred Hagstrom,Winter,25,"Australia, New Zealand","Australia, New Zealand",,"This OCS ran from 1999/1 to 1999/03, and visited Australia, New Zealand.

Lead by Fred Hagstrom with 25 total students in partipation across the years."
2000/1,2012/03,Francophone Studies Seminar In Mali,Chérif Keïta,Winter,145,Mali,Mali,,"This OCS ran from 2000/1 to 2012/03, and visited Mali.

Lead by Chérif Keïta with 145 total students in partipation across the years."
2000/08,2020/03,English Literature And Theater In London,"Constance Walker, Greg Hewett",Winter,340,UK,UK,,"This OCS ran from 2000/08 to 2020/03, and visited UK.

Lead by Constance Walker, Greg Hewett with 340 total students in partipation across the years."
2000/11,2001/12,Geology In The Bahamas,Clint Cowan,Winter Break,12,Bahamas,Bahamas,,"This OCS ran from 2000/11 to 2001/12, and visited Bahamas.

Lead by Clint Cowan with 12 total students in partipation across the years."
2000/11,2001/12,Posc In China/mexico,Roy Grow & Al Montero,Winter Break,20,"China/Mexico (10 in China, 10 in Mexico)","China/Mexico (10 in China, 10 in Mexico)",,"This OCS ran from 2000/11 to 2001/12, and visited China/Mexico (10 in China, 10 in Mexico).

Lead by Roy Grow & Al Montero with 20 total students in partipation across the years."
2001/1,2007/03,Studio Art Seminar In Nz & Australia,Fred Hagstrom,Winter,104,New Zealand,"Australia, Cook Islands, New Zealand",,"This OCS ran from 2001/1 to 2007/03, and visited Australia, Cook Islands, New Zealand.

Lead by Fred Hagstrom with 104 total students in partipation across the years."
2001/11,2002/12,"History, Memory, And The Black Atlantic",Harry Williams,Winter Break,10,Ghana,Ghana,,"This OCS ran from 2001/11 to 2002/12, and visited Ghana.

Lead by Harry Williams with 10 total students in partipation across the years."
2002/08,2002/11,Chinese Seminar In Tianjin,Qiguang Zhao,Fall,25,China,China,,"This OCS ran from 2002/08 to 2002/11, and visited China.

Lead by Qiguang Zhao with 25 total students in partipation across the years."
